BQR: forward error
5.0111034172557174e-5	5.297437546239855e-5	5.8990719183047326e-5	6.203314644987976e-5	7.045337481125637e-5
5.012351215935039e-5	5.2975367475184776e-5	5.9004058300249387e-5	6.205039913686061e-5	7.044149123580115e-5
5.018062820652742e-5	5.2886074169972486e-5	5.903404012082807e-5	6.201931499697556e-5	7.03571825651094e-5
5.014823432313801e-5	5.296411459911226e-5	5.9057833047899075e-5	6.203468469595982e-5	7.038038239127302e-5
5.017315291879606e-5	5.2955236128295814e-5	5.902117939608314e-5	6.198551386867753e-5	7.041437187948995e-5
5.018207261887641e-5	5.2885992789280404e-5	5.907737085271025e-5	6.207606725493039e-5	7.03862600307896e-5
5.01840921717793e-5	5.2868231640527576e-5	5.91031981151899e-5	6.206979056315256e-5	7.03483032715048e-5
5.014925546536971e-5	5.2968483180523056e-5	5.9064494297667666e-5	6.210493445123594e-5	7.037097760277388e-5
5.021655029460278e-5	5.298460312494405e-5	5.91237734945673e-5	6.20943886814928e-5	7.041278795905855e-5
5.0202409379498127e-5	5.2934737343451377e-5	5.907972933547703e-5	6.208353446459538e-5	7.04062982724084e-5
