BQR: backward error
2.3214622509335514e-7	2.175533144315163e-7	2.645990790598967e-7	5.113642890030981e-7	5.996268754080448e-7	7.524930748857625e-7
2.0891972894171073e-7	1.8789303169626996e-7	2.6896183074586917e-7	5.0571259284946e-7	5.760687132731009e-7	7.577705908350809e-7
1.8340832391993467e-7	2.0287761059882208e-7	2.209195705995876e-7	4.843486781863724e-7	5.757336028298857e-7	7.591912732080584e-7
2.346120338629109e-7	1.97894203000157e-7	3.203655598557389e-7	4.697251295647801e-7	5.708520955260204e-7	7.513340609009843e-7
1.980178200936083e-7	2.0397418776932518e-7	2.8882087341688956e-7	5.114553254459916e-7	5.747909445114809e-7	7.465600224378152e-7
2.2936638940154555e-7	2.9794545720484314e-7	2.5098549623087245e-7	4.6753280463934313e-7	6.030028286354939e-7	7.498963997559498e-7
1.8820115101497636e-7	2.202832248220714e-7	2.2139906766133901e-7	4.638770164047213e-7	6.041139501323169e-7	7.441583906518577e-7
2.9933729545625876e-7	2.6932495621879587e-7	2.26597072521059e-7	4.6595453922185314e-7	5.847349366204021e-7	7.661200009196265e-7
1.7427586393175654e-7	1.9708242788517215e-7	2.2814925938953865e-7	4.597788754593448e-7	5.829910121415713e-7	7.532114729637583e-7
2.2735986472184577e-7	2.900065824072596e-7	2.2703392516509205e-7	4.7106156954942513e-7	5.841033628192188e-7	7.702747586306077e-7
