BQR: forward error
4.096506958526867e-5	4.0925748819338566e-5	4.090716093946218e-5	4.101198640495562e-5	4.107650717341849e-5	4.084741741774695e-5	4.104433305272744e-5	4.0891927632916965e-5	4.0822613201025936e-5
4.0867765097160764e-5	4.08644307094378e-5	4.0939332873448744e-5	4.109970998188221e-5	4.1042367865507795e-5	4.087725886471661e-5	4.1129514516104356e-5	4.0979140953735475e-5	4.0950973966949754e-5
4.0890263763244275e-5	4.089073032116893e-5	4.097307237011917e-5	4.096876088794419e-5	4.092847734826919e-5	4.0891047999834324e-5	4.112781906055251e-5	4.0952221960966314e-5	4.081070325850081e-5
4.084430069829424e-5	4.0976579309298274e-5	4.096055051774019e-5	4.103564749471802e-5	4.100182303589019e-5	4.082918550321428e-5	4.111016997846971e-5	4.0968102876038625e-5	4.08971040942013e-5
4.089297603772475e-5	4.0945163635887326e-5	4.091414767057106e-5	4.105251905358057e-5	4.098265543927398e-5	4.0841986624773014e-5	4.106839349739522e-5	4.098160932855568e-5	4.0794705986155315e-5
4.094367214109771e-5	4.097132947218583e-5	4.102704168742606e-5	4.108241565605068e-5	4.101281894268003e-5	4.088386553799284e-5	4.114542085250371e-5	4.095464543887299e-5	4.082443363026927e-5
4.08943245977283e-5	4.097764172904532e-5	4.087963516174414e-5	4.104846107587189e-5	4.106380863048844e-5	4.080228235866717e-5	4.117049898020734e-5	4.0875825325036094e-5	4.0787191124984e-5
4.0811624230327794e-5	4.0952022587306723e-5	4.0922748724399366e-5	4.100942013669026e-5	4.099559165448537e-5	4.0813661353048244e-5	4.113411364784782e-5	4.0942529035003165e-5	4.078905912272467e-5
4.0900863428019286e-5	4.0920614984094466e-5	4.095513463162063e-5	4.101238875198425e-5	4.106572318557173e-5	4.081264935799282e-5	4.116249695727863e-5	4.095395363607419e-5	4.084456117094864e-5
4.092596285249781e-5	4.09799905741083e-5	4.088265574812277e-5	4.107323542987108e-5	4.0955484527730536e-5	4.0792486399172795e-5	4.108683525455237e-5	4.088523649657397e-5	4.090245004319585e-5
