BQR: forward error
6.183069817972377e-5	6.16436622625304e-5	6.175162148397218e-5	6.164544414783305e-5	6.211370979961961e-5	6.177093026055168e-5	6.212029881068428e-5	6.18666795473135e-5	6.18139135089005e-5
6.186828595286077e-5	6.16739352152153e-5	6.163311582034405e-5	6.165909780564161e-5	6.199813020853446e-5	6.177453833424041e-5	6.209875432683163e-5	6.18416445409567e-5	6.171695742858799e-5
6.189906204329498e-5	6.169646382860591e-5	6.175450951001498e-5	6.166338387877e-5	6.20153069853993e-5	6.180828561035689e-5	6.211110859361319e-5	6.189346446026721e-5	6.182707505262224e-5
6.19012225070713e-5	6.1606250162158e-5	6.170416883737417e-5	6.173109613581657e-5	6.210829566922995e-5	6.166131290335704e-5	6.208413275939408e-5	6.185027459182669e-5	6.17700341699263e-5
6.188720201911362e-5	6.16657059517447e-5	6.166675026248089e-5	6.172359400314556e-5	6.203268318908997e-5	6.173013429645283e-5	6.212648647514239e-5	6.188992665894538e-5	6.179261544182163e-5
6.181841521561536e-5	6.165494007476355e-5	6.163998089425326e-5	6.172581455053975e-5	6.201215065303329e-5	6.182000527941677e-5	6.205736523439624e-5	6.185319688449535e-5	6.180102563642149e-5
6.186141081996517e-5	6.165586924349467e-5	6.169123247446981e-5	6.168802390540348e-5	6.213370398196933e-5	6.17375561043281e-5	6.213622536537698e-5	6.189065324789692e-5	6.17401133763552e-5
6.189893527547187e-5	6.165375652711289e-5	6.175181375241057e-5	6.169996174395664e-5	6.208801639388315e-5	6.17749434281639e-5	6.220188729685895e-5	6.19218748328229e-5	6.177988580389136e-5
6.190647303148276e-5	6.170879182674699e-5	6.16934397290408e-5	6.167642010419439e-5	6.20364390474755e-5	6.179006485157782e-5	6.213575302104156e-5	6.196425124225369e-5	6.172172314288044e-5
6.186701932699394e-5	6.170892479023227e-5	6.170713362401823e-5	6.17184372196474e-5	6.200990839063396e-5	6.181848351823037e-5	6.211169746492584e-5	6.189644048081372e-5	6.17896142209857e-5
