BQR: forward error
1.8144471773824562e-6	3.340479250036077e-6	6.560951877965228e-6	1.1189557154539353e-5	2.2245317329006786e-5	6.209451095684893e-5
1.8435533391220423e-6	3.4449696284812354e-6	6.481834558503479e-6	1.119838328488709e-5	2.228433808976181e-5	6.212054310834223e-5
1.7527496401134216e-6	3.3368075916018797e-6	6.528411128017165e-6	1.126501055375107e-5	2.2261773172837893e-5	6.207046091385281e-5
1.8267719558061823e-6	3.3275530042070685e-6	6.550177724106284e-6	1.1186703317012793e-5	2.2259674496371114e-5	6.203300163801823e-5
1.7800465025382331e-6	3.3511525075755538e-6	6.530618655375943e-6	1.1204758849395507e-5	2.2259148139765877e-5	6.20504972588951e-5
1.8204713672626285e-6	3.4051343682192367e-6	6.60887546347328e-6	1.1179413298419554e-5	2.2298993376356886e-5	6.205361653595049e-5
1.7835375706502704e-6	3.4074528993741975e-6	6.565496803420286e-6	1.1209446343586813e-5	2.227565486639962e-5	6.199324689531856e-5
1.7762771593465183e-6	3.397755275526722e-6	6.532221011516566e-6	1.1226561629027148e-5	2.227943739077887e-5	6.206942799772151e-5
1.809807450133183e-6	3.3506382036936835e-6	6.530188672759356e-6	1.122174113227432e-5	2.2285575652671097e-5	6.21281296895953e-5
1.844964076775876e-6	3.4034448418673035e-6	6.536049681038473e-6	1.1172835378235005e-5	2.225398264137246e-5	6.197335438731096e-5
