BQR: backward error
5.997757268478515e-7	6.619586840748769e-7	7.102641495473127e-7	7.552107727390531e-7	8.729503428512575e-7
6.079307146886851e-7	6.316093522333062e-7	6.994988717144845e-7	7.574113838366373e-7	8.653621718922611e-7
5.91285233983986e-7	6.334400016918314e-7	7.099696856944836e-7	7.59008812713073e-7	8.635444838853076e-7
5.926523147949746e-7	6.413635951914367e-7	7.090796781973931e-7	7.595634610694495e-7	8.720111990321105e-7
5.882507602274233e-7	6.461981772965231e-7	7.026954441627111e-7	7.706215346251621e-7	8.641542531556053e-7
6.049828465826048e-7	6.3324362205499e-7	7.071837086855477e-7	7.533417338790971e-7	8.732141799374934e-7
5.93389345223997e-7	6.416220144074287e-7	7.036477257252748e-7	7.467119413448306e-7	8.63193441889534e-7
6.063987265932698e-7	6.363756706456532e-7	7.246755350351258e-7	7.49463508014064e-7	8.785850785746005e-7
5.964325584204014e-7	6.301082721798534e-7	7.130405282200917e-7	7.625311400244849e-7	8.671935560451534e-7
5.898958646215909e-7	6.435181335720633e-7	7.311105510789976e-7	7.682320717121406e-7	8.680513238478259e-7
