BQR: backward error
1.0738891686277112e-6	1.072107629348205e-6	1.0643060906622796e-6	9.94593850959401e-7	7.492171765370338e-7	6.026483804323172e-7	5.785064210711179e-7	5.718541944773137e-7	5.782537448396905e-7
1.0743311230094812e-6	1.0720853305885613e-6	1.0630308156874571e-6	9.95723170668252e-7	7.511037746359757e-7	5.831534083322711e-7	5.95324431997253e-7	6.139033580737092e-7	5.763406679019886e-7
1.074759922278229e-6	1.0722631856122118e-6	1.0641425471945251e-6	9.955753844738714e-7	7.569490743939527e-7	5.86080256940497e-7	5.893858796439168e-7	5.75322412734275e-7	5.897433601026731e-7
1.0741512330956146e-6	1.0710293456793895e-6	1.0642505070441696e-6	9.950648714454554e-7	8.044798593529147e-7	7.209344069320128e-7	6.565120513037625e-7	5.908685426093505e-7	5.789383444727753e-7
1.0739758231296635e-6	1.0713443359973718e-6	1.0632224563580776e-6	9.940222464491445e-7	7.874892207266195e-7	6.984417738475546e-7	5.867582009837708e-7	5.729934840740794e-7	5.79680386528834e-7
1.0741591111077248e-6	1.0718518368542465e-6	1.0640178322022732e-6	9.955193009691494e-7	7.530535337628317e-7	6.160321700582529e-7	5.64818974393756e-7	6.186118588644067e-7	6.254009717844272e-7
1.0743191723423835e-6	1.072303128801016e-6	1.063935266366233e-6	9.96334200101126e-7	7.562712662188894e-7	6.104674369792895e-7	5.711729290685788e-7	5.857143126525432e-7	5.974603008763511e-7
1.0744607334101628e-6	1.0719470378961864e-6	1.064368729373099e-6	9.945628279578483e-7	7.618399074268566e-7	5.944386804022193e-7	5.872887133728109e-7	5.546762623692237e-7	6.096765041122879e-7
1.074057800483196e-6	1.0719674474279096e-6	1.0642054472388496e-6	9.939392582130218e-7	7.524717139669959e-7	6.204219844841016e-7	5.534672957237916e-7	5.784898028221692e-7	5.90904948317183e-7
1.0740298840621574e-6	1.0723490612508351e-6	1.0640484107539537e-6	9.953456688379785e-7	7.496752422671096e-7	6.427941141123001e-7	5.920039949428931e-7	5.829714744818526e-7	5.818567034970704e-7
